,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
252,0.811,0.697,8,-8.019,1,0.0502,0.0923,0.0144,0.0784,0.712,120.242,audio_features,66X03EIfE1zm99rd4SfL71,spotify:track:66X03EIfE1zm99rd4SfL71,https://api.spotify.com/v1/tracks/66X03EIfE1zm99rd4SfL71,https://api.spotify.com/v1/audio-analysis/66X03EIfE1zm99rd4SfL71,280467,4
253,0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879,audio_features,5QLHGv0DfpeXLNFo7SFEy1,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,https://api.spotify.com/v1/tracks/5QLHGv0DfpeXLNFo7SFEy1,https://api.spotify.com/v1/audio-analysis/5QLHGv0DfpeXLNFo7SFEy1,266200,4
254,0.41,0.347,8,-11.201,1,0.0445,0.876,6.71E-06,0.864,0.169,106.55,audio_features,4tYMue7ZvHx9ES2di2ZyoW,spotify:track:4tYMue7ZvHx9ES2di2ZyoW,https://api.spotify.com/v1/tracks/4tYMue7ZvHx9ES2di2ZyoW,https://api.spotify.com/v1/audio-analysis/4tYMue7ZvHx9ES2di2ZyoW,266307,4
255,0.651,0.804,4,-6.264,0,0.0283,0.0095,0.00386,0.182,0.713,114.635,audio_features,0AxdJGlXJjEUsNONDuT2pe,spotify:track:0AxdJGlXJjEUsNONDuT2pe,https://api.spotify.com/v1/tracks/0AxdJGlXJjEUsNONDuT2pe,https://api.spotify.com/v1/audio-analysis/0AxdJGlXJjEUsNONDuT2pe,200067,4
256,0.75,0.914,10,-5.707,0,0.0704,0.13,2.33E-05,0.392,0.673,99.083,audio_features,6VWFrHAnLDyNUEJbJvpkZA,spotify:track:6VWFrHAnLDyNUEJbJvpkZA,https://api.spotify.com/v1/tracks/6VWFrHAnLDyNUEJbJvpkZA,https://api.spotify.com/v1/audio-analysis/6VWFrHAnLDyNUEJbJvpkZA,201200,4
257,0.584,0.533,10,-7.11,0,0.0305,0.684,0,0.306,0.224,131.745,audio_features,3YKptz29AsOlm7WAVnztBh,spotify:track:3YKptz29AsOlm7WAVnztBh,https://api.spotify.com/v1/tracks/3YKptz29AsOlm7WAVnztBh,https://api.spotify.com/v1/audio-analysis/3YKptz29AsOlm7WAVnztBh,288427,3
258,0.439,0.434,7,-14.918,1,0.0265,0.0783,4.87E-05,0.14,0.204,94.845,audio_features,0gEyKnHvgkrkBM6fbeHdwK,spotify:track:0gEyKnHvgkrkBM6fbeHdwK,https://api.spotify.com/v1/tracks/0gEyKnHvgkrkBM6fbeHdwK,https://api.spotify.com/v1/audio-analysis/0gEyKnHvgkrkBM6fbeHdwK,274707,4
259,0.694,0.824,1,-6.756,1,0.0909,0.119,7.15E-06,0.152,0.675,95.833,audio_features,5NaOWLOmVjcA3M5spRATN9,spotify:track:5NaOWLOmVjcA3M5spRATN9,https://api.spotify.com/v1/tracks/5NaOWLOmVjcA3M5spRATN9,https://api.spotify.com/v1/audio-analysis/5NaOWLOmVjcA3M5spRATN9,299827,4
260,0.535,0.523,2,-7.601,1,0.0312,0.603,0,0.0943,0.17,107.889,audio_features,3hp4ojt7tHLWwz6SaR7vkw,spotify:track:3hp4ojt7tHLWwz6SaR7vkw,https://api.spotify.com/v1/tracks/3hp4ojt7tHLWwz6SaR7vkw,https://api.spotify.com/v1/audio-analysis/3hp4ojt7tHLWwz6SaR7vkw,273933,4
261,0.607,0.317,7,-10.244,0,0.029,0.732,4.53E-05,0.086,0.111,108.122,audio_features,3RSpK5Y0y5tl25qvssrwJ6,spotify:track:3RSpK5Y0y5tl25qvssrwJ6,https://api.spotify.com/v1/tracks/3RSpK5Y0y5tl25qvssrwJ6,https://api.spotify.com/v1/audio-analysis/3RSpK5Y0y5tl25qvssrwJ6,230933,4
